LipidSpecies,LipidClass,Mass,IsobaricClass,ChemicalFormula,DerivatizedForm,AdductIon,LipidCategory,ScanPolarity,Intensity:240506_lung_WT_45083_b.mzML,Intensity:240506_lung_KO_44938_a.mzML,Intensity:240506_Blank_49932_a.mzML,Intensity:240506_lung_WT_45084_a.mzML,Intensity:240506_QC_49936_b.mzML,Intensity:240506_lung_KO_44939_b.mzML,Intensity:240506_QC_49936_a.mzML,Intensity:240506_lung_KO_44939_a.mzML,Intensity:240506_Blank_49932_b.mzML,Intensity:240506_lung_WT_45084_b.mzML,Intensity:240506_lung_KO_44938_b.mzML,Intensity:240506_lung_WT_45083_a.mzML,IdentificationLevel,QuantificationIon,PrecursorIdentifier,FragmentAIdentifier,FragmentBIdentifier,FragmentCIdentifier,PrecursorIntensity:240506_lung_WT_45083_b.mzML,PrecursorIntensity:240506_lung_KO_44938_a.mzML,PrecursorIntensity:240506_Blank_49932_a.mzML,PrecursorIntensity:240506_lung_WT_45084_a.mzML,PrecursorIntensity:240506_QC_49936_b.mzML,PrecursorIntensity:240506_lung_KO_44939_b.mzML,PrecursorIntensity:240506_QC_49936_a.mzML,PrecursorIntensity:240506_lung_KO_44939_a.mzML,PrecursorIntensity:240506_Blank_49932_b.mzML,PrecursorIntensity:240506_lung_WT_45084_b.mzML,PrecursorIntensity:240506_lung_KO_44938_b.mzML,PrecursorIntensity:240506_lung_WT_45083_a.mzML,FragmentAIntensity:240506_lung_WT_45083_b.mzML,FragmentAIntensity:240506_lung_KO_44938_a.mzML,FragmentAIntensity:240506_Blank_49932_a.mzML,FragmentAIntensity:240506_lung_WT_45084_a.mzML,FragmentAIntensity:240506_QC_49936_b.mzML,FragmentAIntensity:240506_lung_KO_44939_b.mzML,FragmentAIntensity:240506_QC_49936_a.mzML,FragmentAIntensity:240506_lung_KO_44939_a.mzML,FragmentAIntensity:240506_Blank_49932_b.mzML,FragmentAIntensity:240506_lung_WT_45084_b.mzML,FragmentAIntensity:240506_lung_KO_44938_b.mzML,FragmentAIntensity:240506_lung_WT_45083_a.mzML,FragmentBIntensity:240506_lung_WT_45083_b.mzML,FragmentBIntensity:240506_lung_KO_44938_a.mzML,FragmentBIntensity:240506_Blank_49932_a.mzML,FragmentBIntensity:240506_lung_WT_45084_a.mzML,FragmentBIntensity:240506_QC_49936_b.mzML,FragmentBIntensity:240506_lung_KO_44939_b.mzML,FragmentBIntensity:240506_QC_49936_a.mzML,FragmentBIntensity:240506_lung_KO_44939_a.mzML,FragmentBIntensity:240506_Blank_49932_b.mzML,FragmentBIntensity:240506_lung_WT_45084_b.mzML,FragmentBIntensity:240506_lung_KO_44938_b.mzML,FragmentBIntensity:240506_lung_WT_45083_a.mzML,FragmentCIntensity:240506_lung_WT_45083_b.mzML,FragmentCIntensity:240506_lung_KO_44938_a.mzML,FragmentCIntensity:240506_Blank_49932_a.mzML,FragmentCIntensity:240506_lung_WT_45084_a.mzML,FragmentCIntensity:240506_QC_49936_b.mzML,FragmentCIntensity:240506_lung_KO_44939_b.mzML,FragmentCIntensity:240506_QC_49936_a.mzML,FragmentCIntensity:240506_lung_KO_44939_a.mzML,FragmentCIntensity:240506_Blank_49932_b.mzML,FragmentCIntensity:240506_lung_WT_45084_b.mzML,FragmentCIntensity:240506_lung_KO_44938_b.mzML,FragmentCIntensity:240506_lung_WT_45083_a.mzML,PrecursorERRppm,FragmentAERRppm,FragmentBERRppm,FragmentCERRppm,FragmentAMass,FragmentBMass,FragmentCMass,FragmentAAdductIon,FragmentBAdductIon,FragmentCAdductIon,FragmentAChemicalFormula,FragmentBChemicalFormula,FragmentCChemicalFormula,NeutralChemicalFormula
IS PA 15:0-18:1(+[2]H7),PA,666.5102665748929,,C36 H61 D7 O8 P1,,-H+,Internal standard,negative,48604.0,73065.7,167528.9,101431.4,108871.7,48295.2,105960.6,52153.3,152975.5,118674.6,70048.2,44486.1,MS2,FragmentB,[PA 15:0_18:1(+[2]H7) -H]-,FA 15:0 (+O),FA 18:1(+[2]H7) (+O),,162578.2,204409.2,550015.6,345273.5,347679.4,144820.3,339303.6,107089.1,540387.3,385472.4,213928.6,110461.9,132599.4,219026.6,516571.7,326475.3,322096.3,144862.2,333961.7,160828.0,446073.7,360719.3,185256.7,140868.4,48604.0,73065.7,167528.9,101431.4,108871.7,48295.2,105960.6,52153.3,152975.5,118674.6,70048.2,44486.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.69,0.74,,241.21771240234375,288.2927551269531,,-H+,-H+,,C15 H29 O2,C18 H26 O2 D7,,C36 H62 D7 O8 P1
IS PE O-18:0p-18:1(+[2]H9),PE O-,737.6171153692386,,C41 H70 D9 O7 N1 P1,,-H+,Internal standard,negative,922374.0,1228210.0,1538756.8,760845.4,869749.3,1150886.2,810084.3,1146800.1,1394267.1,880432.9,1070186.0,934494.5,MS2,FragmentB,[PE O-18:0p-18:1(+[2]H9) -H]-,FA O-18:0p (+O),FA 18:1(+[2]H9) (+O),,511005.9,743968.2,926883.8,491892.2,541359.9,785764.4,455032.7,742537.8,942680.5,536780.6,651670.8,616985.5,78718.3,102494.0,132188.6,74057.0,78648.4,91693.9,68502.7,93325.6,120040.1,70077.3,81061.7,81362.3,922374.0,1228210.0,1538756.8,760845.4,869749.3,1150886.2,810084.3,1146800.1,1394267.1,880432.9,1070186.0,934494.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.76,0.8,,464.31500244140625,290.3053283691406,,-H+,-H+,,C23 H47 O6 N1 P1,C18 H24 D9 O2,,C41 H71 D9 O7 N1 P1
IS LPE 18:1(+[2]H7),LPE,485.3378771887208,,C23 H38 D7 O7 N1 P1,,-H+,Internal standard,negative,664304.4,819561.3,1467985.0,751659.0,794834.0,881171.9,764181.7,756350.1,1445694.8,813633.9,844756.1,684430.2,MS2,FragmentA,[PE 18:1(+[2]H7) -H]-,FA 18:1(+[2]H7) (+O),,,462252.6,546742.6,988115.0,562825.6,547210.0,540816.7,520189.6,501636.2,1052178.8,566109.5,511346.5,503516.1,664304.4,819561.3,1467985.0,751659.0,794834.0,881171.9,764181.7,756350.1,1445694.8,813633.9,844756.1,684430.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.53,,,288.2926940917969,,,-H+,,,C18 H26 O2 D7,,,C23 H39 D7 O7 N1 P1
IS PE 15:0-18:1(+[2]H7),PE,709.5525612065296,,C38 H66 D7 O8 N1 P1,,-H+,Internal standard,negative,182195.8,272194.6,365933.2,165194.3,193601.0,233670.8,181475.2,231152.8,391693.3,189536.4,240811.7,231993.2,MS2,FragmentB,[PE 15:0_18:1(+[2]H7) -H]-,FA 15:0 (+O),FA 18:1(+[2]H7) (+O),,120831.7,174845.6,285114.0,111989.4,104515.2,170782.3,102444.6,155312.8,292256.5,148294.7,152127.7,129365.3,60609.1,94850.6,122743.0,55064.8,67290.0,85240.4,62927.0,90049.8,131898.6,59151.9,76373.4,79197.4,182195.8,272194.6,365933.2,165194.3,193601.0,233670.8,181475.2,231152.8,391693.3,189536.4,240811.7,231993.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,1.56,0.63,,241.2176818847656,288.292724609375,,-H+,-H+,,C15 H29 O2,C18 H26 O2 D7,,C38 H67 D7 O8 N1 P1
IS PC 15:0-18:1(+[2]H7),PC,811.620748498894,,C43 H76 D7 O10 N1 P1,,+CH3COO-,Internal standard,negative,2114301.2,2596447.2,5508925.0,1855311.6,2781782.0,2244895.0,1976996.9,2321772.1,4958265.9,2468216.2,2108556.2,2225277.6,MS2,FragmentB,[PC 15:0_18:1(+[2]H7) +CH3COO]-,FA 15:0 (+O),FA 18:1(+[2]H7) (+O),-PC(74),112089789406.9,156199141124.8,315208184023.5,128683226342.4,155837255122.5,149597092452.7,123495016823.8,129950410401.4,319093057725.5,143693211078.1,130623326645.4,119871360316.7,573968.2,763884.9,1840897.1,509532.7,777379.1,611105.2,582671.5,624826.4,1645748.6,714953.4,614591.7,589589.5,2114301.2,2596447.2,5508925.0,1855311.6,2781782.0,2244895.0,1976996.9,2321772.1,4958265.9,2468216.2,2108556.2,2225277.6,44953.3,56407.0,126216.2,50878.2,85429.0,46449.5,46295.2,64607.2,115810.0,54275.3,46975.1,56974.7,0.99,1.75,0.63,899622.55,241.2177276611328,288.292724609375,737.5838012695312,-H+,-H+,-H+,C15 H29 O2,C18 H26 O2 D7,C40 H70 D7 O8 N1 P1,C41 H73 D7 O8 N1 P1
IS PC O-18:0p-18:1(+[2]H7),PC O-,839.684648502576,,C46 H80 D9 O9 N1 P1,,+CH3COO-,Internal standard,negative,238141.9,368965.0,744841.6,285390.8,341496.8,299922.1,306568.0,331781.3,687764.5,309799.5,332462.4,339565.5,MS2,FragmentB,[PC O-18:0p_18:1(+[2]H7) +CH3COO]-,FA O-18:0p (+O),FA 18:1(+[2]H7) (+O),-PC(74),50033.7,174046.6,381806.6,168095.9,192204.9,80303.1,156470.6,66615.9,381125.6,175073.6,117367.6,60213.4,23811.5,31745.1,64494.4,25801.7,27151.4,27662.4,26033.4,32808.2,57870.7,26702.1,31023.9,23463.8,238141.9,368965.0,744841.6,285390.8,341496.8,299922.1,306568.0,331781.3,687764.5,309799.5,332462.4,339565.5,7123.2,7593.9,21867.1,9293.2,10320.4,10955.7,9319.7,10482.2,19250.4,8958.0,11725.9,11825.9,0.13,1.85,0.59,903301.75,492.3468627929687,290.3052673339844,765.6475830078125,-H+,-H+,-H+,C25 H51 N1 O6 P1,C18 H24 D9 O2,C43 H74 D9 O7 N1 P1,C44 H77 D9 O7 N1 P1
IS PG 15:0-18:1(+[2]H7),PG,740.5471044672064,,C39 H67 D7 O10 P1,,-H+,Internal standard,negative,3199106.2,4975743.4,4015279.8,3578700.1,3902363.0,3890831.8,3691891.2,4678552.7,3905366.8,3866885.0,3604143.1,4067121.4,MS2,FragmentB,[PG 15:0_18:1(+[2]H7) -H]-,FA 15:0 (+O),FA 18:1(+[2]H7) (+O),,1844007.3,2450161.2,3481713.0,1978877.2,1995713.1,2409426.0,1727520.8,2261814.7,3452761.1,2107468.3,2156865.2,1951373.8,685435.2,1105659.1,1421207.9,746892.6,894996.2,825092.5,806489.6,991139.3,1431646.5,870467.8,772354.9,877709.5,3199106.2,4975743.4,4015279.8,3578700.1,3902363.0,3890831.8,3691891.2,4678552.7,3905366.8,3866885.0,3604143.1,4067121.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,1.75,0.63,,241.2177276611328,288.292724609375,,-H+,-H+,,C15 H29 O2,C18 H26 O2 D7,,C39 H68 D7 O10 P1
IS LPC 18:1(+[2]H7),LPC,587.4062434325833,,C28 H48 D7 O9 N1 P1,,+CH3COO-,Internal standard,negative,1098320.6,1386057.7,2497634.9,1284679.3,1421655.8,1317932.0,1402812.5,1152937.0,2305646.0,1802519.1,1296806.2,1169529.7,MS2,FragmentA,[LPC 18:1 +CH3COO-]-,FA 18:1(+[2]H7) (+O),-PC(74),,815144.7,907400.9,1901991.8,1056545.8,1228666.6,854986.8,1068993.4,752345.4,1867554.8,1152634.5,853637.0,836041.0,1098320.6,1386057.7,2497634.9,1284679.3,1421655.8,1317932.0,1402812.5,1152937.0,2305646.0,1802519.1,1296806.2,1169529.7,183751.0,206653.6,400581.1,199358.9,222707.2,204378.3,223327.0,191560.6,368033.9,257749.9,204689.3,187542.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.84,0.57,,288.29278564453125,74.03679763180207,,-H+,-H+,,C18 H26 D7 O2,C25 H42 D7 O7 N1 P1,,C26 H45 D7 O7 N1 P1
IS SM 18:1;(OH)2/18:1(+[2]H9),SM,796.654417094,,C43 H75 D9 O8 N2 P1,,+CH3COO-,Internal standard,negative,831596.1,1193084.9,1452542.5,1052369.0,1354025.9,1068514.1,1088227.5,1090876.2,2488327.0,1121730.3,1043176.1,626752.7,MS2,FragmentA,SM 36:1;(OH)2(+[2]H9) +CH3COO]-,-SM(74),,,341690.3,423118.3,962217.2,390562.9,486085.1,417934.8,400794.4,397037.0,947569.1,452624.3,368946.9,392786.9,831596.1,1193084.9,1452542.5,1052369.0,1354025.9,1068514.1,1088227.5,1090876.2,2488327.0,1121730.3,1043176.1,626752.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,0.97,,,722.6174926757812,,,-H+,,,C40 H69 D9 O6 N2 P1,,,C41 H72 D9 O6 N2 P1
IS PI 15:0-18:1(+[2]H7),PI,828.5628174361785,,C42 H71 D7 O13 P1,,-H+,Internal standard,negative,65639.8,101920.6,179836.3,76290.0,81407.9,80418.6,74869.5,80455.9,150521.3,91535.8,72154.1,87625.3,MS2,FragmentB,[PI 15:0_18:1(+[2]H7) -H]-,FA 15:0 (+O),FA 18:1(+[2]H7) (+O),PI(241),186078.2,229172.2,463510.7,224071.3,209573.9,201746.3,216724.8,178704.4,453915.3,212750.9,206160.5,196395.4,64983.3,93879.6,160886.9,68126.6,67350.8,70996.6,78052.5,73878.8,156397.7,79085.6,74188.1,91245.2,65639.8,101920.6,179836.3,76290.0,81407.9,80418.6,74869.5,80455.9,150521.3,91535.8,72154.1,87625.3,49621.1,77960.8,130808.0,59081.8,66627.5,60966.7,65040.8,74244.9,123898.4,69911.4,62331.7,69595.7,0.39,1.75,0.74,1.81,241.2177276611328,288.2927551269531,241.01231384277344,-H+,-H+,-H+,C15 H29 O2,C18 H26 O2 D7,C6 H10 O8 P1,C42 H72 D7 O13 P1
IS Cer 18:1;(OH)2(+[2]H7)/15:0,Cer,589.5544936336194,,C35 H61 D7 N1 O5,,+CH3COO-,Internal standard,negative,3533323.5,3884695.2,13643232.2,5313862.5,6354949.1,3972910.0,5526982.2,3536928.4,14542448.6,6118160.1,3643023.5,3479599.6,MS1,Precursor,[Cer 33:1;2(+CH3COO)-],,,,3533323.5,3884695.2,13643232.2,5313862.5,6354949.1,3972910.0,5526982.2,3536928.4,14542448.6,6118160.1,3643023.5,3479599.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,,,,,,,,,,,,,C33 H58 D7 N1 O3
IS PS 15:0-18:1(+[2]H7),PS,753.5423055774053,,C39 H66 D7 O10 N1 P1,,-H+,Internal standard,negative,88057.9,110586.2,134075.9,107457.1,99858.2,89013.9,96204.5,89982.7,142892.8,100749.6,91685.7,87439.7,MS2,FragmentB,[PS 15:0_18:1(+[2]H7) -H]-,FA 15:0 (+O),FA 18:1(+[2]H7) (+O),-PS(87),354181252.9,-3.0,11353407247.6,-3.0,509840136.2,-3.0,200138654.0,-3.0,11527632915.9,-3.0,-3.0,70423577.5,120697.5,133815.6,325523.8,142799.1,140959.9,80622.9,147534.5,137380.3,387879.3,133495.0,119240.3,104898.4,88057.9,110586.2,134075.9,107457.1,99858.2,89013.9,96204.5,89982.7,142892.8,100749.6,91685.7,87439.7,8085.0,13797.0,15386.5,16083.6,15301.6,14962.0,16205.9,10953.3,21007.2,13334.7,14678.4,14465.5,0.81,1.81,0.84,869421.31,241.21774291992188,288.29278564453125,666.5101928710938,-H+,-H+,-H+,C15 H29 O2,C18 H26 D7 O2,C36 H61 D7 O8 P1,C39 H67 D7 O10 N1 P1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL 68:6,CL,697.9653649003737,,C76 H136 O17 P2 Ci1,,-H+,Glycerophospholipid,negative,62613.9,141804.2,0.0,69062.9,93498.7,73008.9,42859.0,0.0,0.0,57533.2,75504.5,0.0,MS1,Precursor,[CL 68:6 -H]-,,,,62613.9,141804.2,0.0,69062.9,93498.7,73008.9,42859.0,0.0,0.0,57533.2,75504.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,,,,,,,,,,,,,C76 H137 O17 P2 Ci1
CL 70:7,CL,710.973356856127,,C78 H138 O17 P2 Ci1,,-H+,Glycerophospholipid,negative,182998.2,242084.0,0.0,198015.2,180827.7,232878.1,231987.6,213265.6,0.0,249453.7,243710.2,169655.3,MS1,Precursor,[CL 70:7 -H]-,,,,182998.2,242084.0,0.0,198015.2,180827.7,232878.1,231987.6,213265.6,0.0,249453.7,243710.2,169655.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,,,,,,,,,,,,,C78 H139 O17 P2 Ci1
CL 70:6,CL,711.9813917772578,,C78 H140 O17 P2 Ci1,,-H+,Glycerophospholipid,negative,90769.9,152320.7,0.0,46426.8,71417.1,51678.4,27807.6,31990.0,0.0,39718.7,73570.4,42648.9,MS1,Precursor,[CL 70:6 -H]-,,,,90769.9,152320.7,0.0,46426.8,71417.1,51678.4,27807.6,31990.0,0.0,39718.7,73570.4,42648.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23,,,,,,,,,,,,,C78 H141 O17 P2 Ci1
CL 70:5,CL,712.9890225767808,,C78 H142 O17 P2 Ci1,,-H+,Glycerophospholipid,negative,10215.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41810.5,41434.6,0.0,MS1,Precursor,[CL 70:5 -H]-,,,,10215.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41810.5,41434.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,,,,,,,,,,,,,C78 H143 O17 P2 Ci1
CL 72:8,CL,723.9812110445426,,C80 H140 O17 P2 Ci1,,-H+,Glycerophospholipid,negative,300018.3,575979.2,0.0,481384.6,340878.4,251214.7,355989.2,354326.7,0.0,498781.9,466384.5,333123.7,MS1,Precursor,[CL 72:8 -H]-,,,,300018.3,575979.2,0.0,481384.6,340878.4,251214.7,355989.2,354326.7,0.0,498781.9,466384.5,333123.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,,,,,,,,,,,,,C80 H141 O17 P2 Ci1
CL 72:7,CL,724.9892161616942,,C80 H142 O17 P2 Ci1,,-H+,Glycerophospholipid,negative,185682.2,167441.1,0.0,177256.1,161381.8,103070.3,126969.2,114681.3,0.0,159537.0,208638.1,129564.8,MS1,Precursor,[CL 72:7 -H]-,,,,185682.2,167441.1,0.0,177256.1,161381.8,103070.3,126969.2,114681.3,0.0,159537.0,208638.1,129564.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21,,,,,,,,,,,,,C80 H143 O17 P2 Ci1
CL 72:6,CL,725.9953060775047,,C80 H144 O17 P2 Ci1,,-H+,Glycerophospholipid,negative,1660964.0,1994313.9,3775913.4,1983281.6,2105306.3,1657539.3,1834355.7,1725093.2,4069410.0,1974714.7,1679482.8,1588656.0,MS1,Precursor,[CL 72:6 -H]-,,,,1660964.0,1994313.9,3775913.4,1983281.6,2105306.3,1657539.3,1834355.7,1725093.2,4069410.0,1974714.7,1679482.8,1588656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.18,,,,,,,,,,,,,C80 H145 O17 P2 Ci1
CL 74:10,CL,735.9812637340083,,C82 H140 O17 P2 Ci1,,-H+,Glycerophospholipid,negative,39063.9,109494.4,0.0,102572.2,69414.1,0.0,63213.7,0.0,0.0,89111.5,88891.2,58569.9,MS1,Precursor,[CL 74:10 -H]-,,,,39063.9,109494.4,0.0,102572.2,69414.1,0.0,63213.7,0.0,0.0,89111.5,88891.2,58569.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,,,,,,,,,,,,,C82 H141 O17 P2 Ci1
CL 74:9,CL,736.9892112616128,,C82 H142 O17 P2 Ci1,,-H+,Glycerophospholipid,negative,101001.6,90313.8,0.0,109622.3,79185.0,90044.3,49073.1,79732.7,0.0,106943.8,89472.0,76647.5,MS1,Precursor,[CL 74:9 -H]-,,,,101001.6,90313.8,0.0,109622.3,79185.0,90044.3,49073.1,79732.7,0.0,106943.8,89472.0,76647.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,,,,,,,,,,,,,C82 H143 O17 P2 Ci1
CL 74:8,CL,737.9970048501026,,C82 H144 O17 P2 Ci1,,-H+,Glycerophospholipid,negative,23424.9,64600.1,0.0,69384.8,35164.5,13334.0,55337.9,0.0,0.0,84078.1,8235.0,5203.6,MS1,Precursor,[CL 74:8 -H]-,,,,23424.9,64600.1,0.0,69384.8,35164.5,13334.0,55337.9,0.0,0.0,84078.1,8235.0,5203.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14,,,,,,,,,,,,,C82 H145 O17 P2 Ci1
CL 76:17,CL,742.9404954006606,,C84 H130 O17 P2 Ci1,,-H+,Glycerophospholipid,negative,351113.8,123650.2,63810.0,169583.6,107978.0,94163.2,299920.0,0.0,110956.4,131012.1,302102.4,77931.5,MS1,Precursor,[CL 76:17 -H]-,,,,351113.8,123650.2,63810.0,169583.6,107978.0,94163.2,299920.0,0.0,110956.4,131012.1,302102.4,77931.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2,,,,,,,,,,,,,C84 H131 O17 P2 Ci1
CL 80:19,CL,768.9579472990756,,C88 H134 O17 P2 Ci1,,-H+,Glycerophospholipid,negative,0.0,82387.1,130675.9,31134.0,89702.0,0.0,70504.1,0.0,0.0,36971.4,0.0,0.0,MS1,Precursor,[CL 80:19 -H]-,,,,0.0,82387.1,130675.9,31134.0,89702.0,0.0,70504.1,0.0,0.0,36971.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,,,,,,,,,,,,,C88 H135 O17 P2 Ci1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cer 30:3;(OH)2,Cer,536.4317370341405,,C32 H58 O5 N1,,+CH3COO-,Sphingolipid,negative,28881.4,0.0,76053.3,45530.4,61028.0,0.0,59791.0,0.0,103320.2,57739.8,21409.0,0.0,MS1,Precursor,[Cer 30:3;(OH)2(+CH3COO)-],,,,28881.4,0.0,76053.3,45530.4,61028.0,0.0,59791.0,0.0,103320.2,57739.8,21409.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.58,,,,,,,,,,,,,C30 H55 O3 N1
Cer 30:1;(OH)2,Cer,540.4634670107448,,C32 H62 O5 N1,,+CH3COO-,Sphingolipid,negative,0.0,0.0,84716.9,33494.4,42901.9,0.0,52385.9,0.0,93281.9,28148.7,0.0,0.0,MS1,Precursor,[Cer 30:1;(OH)2(+CH3COO)-],,,,0.0,0.0,84716.9,33494.4,42901.9,0.0,52385.9,0.0,93281.9,28148.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,,,,,,,,,,,,,C30 H59 O3 N1
Cer 31:3;(OH)3,Cer,566.4428142072195,,C33 H60 O6 N1,,+CH3COO-,Sphingolipid,negative,1052323.4,1633174.7,5063981.2,2230198.0,1676169.9,1291577.4,1983284.7,1457739.3,5201085.9,1980931.5,1353014.3,1525989.5,MS1,Precursor,[Cer 31:3;(OH)3(+CH3COO)-],,,,1052323.4,1633174.7,5063981.2,2230198.0,1676169.9,1291577.4,1983284.7,1457739.3,5201085.9,1980931.5,1353014.3,1525989.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,,,,,,,,,,,,,C31 H57 O4 N1
